Date/Time,EMS:ashp supply fan Cooling [J](Hourly),EMS:ashp supply fan Heating [J](Hourly),ASHP CLG COIL:Cooling Coil Total Cooling Energy [J](Hourly),ASHP CLG COIL:Cooling Coil Electric Energy [J](Hourly),ASHP HTG COIL:Heating Coil Heating Energy [J](Hourly),ASHP HTG COIL:Heating Coil Electric Energy [J](Hourly),ASHP HTG COIL:Heating Coil Defrost Electric Energy [J](Hourly),ASHP HTG COIL:Heating Coil Crankcase Heater Electric Energy [J](Hourly),ASHP SUPP HTG COIL:Heating Coil Heating Energy [J](Hourly),ASHP SUPP HTG COIL:Heating Coil Electric Energy [J](Hourly),WATER USE CONNECTIONS 1:Water Use Connections Plant Hot Water Energy [J](Hourly),WATER HEATER:Water Heater Tank Temperature [C](Hourly),WATER HEATER:Water Heater Use Side Mass Flow Rate [kg/s](Hourly),WATER HEATER:Water Heater Use Side Outlet Temperature [C](Hourly),WATER HEATER:Water Heater Source Side Mass Flow Rate [kg/s](Hourly),WATER HEATER:Water Heater Source Side Inlet Temperature [C](Hourly),WATER HEATER:Water Heater Source Side Outlet Temperature [C](Hourly),WATER HEATER:Water Heater Source Side Heat Transfer Rate [W](Hourly),WATER HEATER:Water Heater Source Side Heat Transfer Energy [J](Hourly),WATER HEATER:Water Heater Heating Energy [J](Hourly),WATER HEATER:Water Heater Electric Energy [J](Hourly),WATER HEATER:Water Heater Off Cycle Parasitic Electric Energy [J](Hourly),WATER HEATER:Water Heater On Cycle Parasitic Electric Energy [J](Hourly),DESUPERHEATER:Water Heater Heating Energy [J](Hourly),WH SETPOINT TEMP:Schedule Value [](Hourly) 
 10/14  18:00:00,581738.4991008916,0.0,11286092.85425308,2306893.2381440408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.8985993256958,0.0,58.8985993256958,0.14508230198658698,60.13714329623275,58.8985993256958,751.6706572356289,2706014.3660482645,0.0,0.0,0.0,0.0,2386933.9229940266,52.6666666666667 
 10/14  19:00:00,443192.348542656,0.0,8792360.693180999,1653228.094279429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.922255437854399,0.0,59.922255437854399,0.0,59.922255437854399,59.922255437854399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.6666666666667 
 10/14  20:00:00,344258.62850827156,0.0,6886747.675154816,1251662.8982636769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.767220640044467,0.0,59.767220640044467,0.0,59.767220640044467,59.767220640044467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.6666666666667 
 10/14  21:00:00,235917.3223641724,0.0,4702727.370698272,857670.3200295675,0.0,0.0,0.0,0.0,0.0,0.0,13762325.065005219,52.608345011612069,0.025596740789703959,52.608345011612069,0.08286832272631625,53.72309587261622,52.608345011612069,386.58852273657689,1391718.6818516767,7560494.740633725,9450618.425792158,0.0,0.0,1390099.4226819599,52.6666666666667 
 10/14  22:00:00,232693.20934796887,0.0,4656148.956868484,838359.0133340934,0.0,0.0,0.0,0.0,0.0,0.0,164680.89412032415,52.37090569910729,0.00030748961348583406,52.37090569910729,0.08200974050100254,53.4839722845876,52.37090569910729,381.6881823238201,1374077.4563657526,0.0,0.0,0.0,0.0,1373626.992550644,52.6666666666667 
 10/14  23:00:00,194617.8282066274,0.0,3906001.454251087,696230.1675242403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.27718372608499,0.0,54.27718372608499,0.06852784987186371,55.39292170835545,54.27718372608499,319.7685660541129,1151166.8377948066,0.0,0.0,0.0,0.0,1150557.9054438319,52.6666666666667 
 10/14  24:00:00,145363.22626550654,0.0,2940342.0110621207,511821.84704343837,0.0,0.0,0.0,0.0,0.0,0.0,67701.8788525184,55.734276442560389,0.00012504876382018836,55.734276442560389,0.05107237385038828,56.857237133655498,55.734276442560389,239.90356095305743,863652.8194310067,0.0,0.0,0.0,0.0,863040.9645263897,52.6666666666667 
 10/15  01:00:00,98873.84508398091,0.0,2005003.8805063156,346012.72005283637,0.0,0.0,0.0,0.0,0.0,0.0,1741594.6586415526,54.941897145963057,0.0030568143409253915,54.941897145963057,0.034671636452712279,56.06842178922921,54.941897145963057,163.4006991504288,588242.5169415437,0.0,0.0,0.0,0.0,587754.1501397879,52.6666666666667 
 10/15  02:00:00,74993.13908591811,0.0,1519917.2709320572,262446.16512779329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.39319282504063,0.0,54.39319282504063,0.026290562063963898,55.519501802153509,54.39319282504063,123.85247656276323,445868.91562594767,0.0,0.0,0.0,0.0,445590.8590149625,52.6666666666667 
 10/15  03:00:00,44457.92395491802,0.0,904197.0497180382,154567.4514374597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.8673684185178,0.0,54.8673684185178,0.015577028638330909,55.996581667253398,54.8673684185178,73.57586972015271,264873.13099254979,0.0,0.0,0.0,0.0,264691.1252888745,52.6666666666667 
 10/15  04:00:00,23218.275580693095,0.0,472118.4011669289,80728.89189311145,0.0,0.0,0.0,0.0,0.0,0.0,469967.3799799955,54.650718229697918,0.0008238031640934576,54.650718229697918,0.008128728111860627,55.780625968673167,54.650718229697918,38.419745616517818,138311.08421946414,0.0,0.0,0.0,0.0,138211.82326501009,52.6666666666667 
 10/15  05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1690439.4875518589,52.7277449903215,0.003109693139234612,52.7277449903215,0.0,54.650718229697918,52.7277449903215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.6666666666667 
 10/15  06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.13761960062242,0.0,51.13761960062242,0.0,52.7277449903215,51.13761960062242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.6666666666667 
 10/15  07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,646996.2569973526,51.768933852284849,0.001221015995922699,51.768933852284849,0.0,51.13761960062242,51.768933852284849,0.0,0.0,1167015.895149357,1458769.868936696,0.0,0.0,0.0,52.6666666666667 
 10/15  08:00:00,33221.30971211676,0.0,657354.204100355,121741.32678028755,0.0,0.0,0.0,0.0,0.0,0.0,46842.36048624958,51.97094346344062,0.00008901762226011762,51.97094346344062,0.011650434888597962,53.08193007574835,51.97094346344062,54.12649204854879,194855.37137477567,0.0,0.0,0.0,0.0,194773.88272016069,52.6666666666667 
 10/15  09:00:00,123078.64979737786,0.0,2380979.2795269268,478129.99562045247,0.0,0.0,0.0,0.0,0.0,0.0,5715626.138921412,51.62488530571754,0.010924805831330974,51.62488530571754,0.043262596195441708,52.72282900334744,51.62488530571754,198.63579663380214,715088.8678816877,4551219.301690959,5689024.127113699,0.0,0.0,714777.3187868447,52.6666666666667 
 10/15  10:00:00,199805.7597596632,0.0,3809824.115275493,809559.4873363185,0.0,0.0,0.0,0.0,0.0,0.0,3929378.3685713696,51.506143774363348,0.007536756571962366,51.506143774363348,0.07038793684947628,52.59644989056074,51.506143774363348,320.90272689169498,1155249.8168101018,2661687.053935062,3327108.8174188279,0.0,0.0,1154845.9006529528,52.6666666666667 
 10/15  11:00:00,312779.03102963787,0.0,5903845.961814326,1308590.8038250209,0.0,0.0,0.0,0.0,0.0,0.0,979797.6171321918,51.768821552907187,0.0018686138560237666,51.768821552907187,0.11052724146787584,52.85292476484463,51.768821552907187,501.01817485442748,1803665.429475939,0.0,0.0,0.0,0.0,1803109.1914098366,52.6666666666667 
 10/15  12:00:00,410860.314819539,0.0,7695752.6784839159,1761859.8114178377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.25683011548196,0.0,55.25683011548196,0.14555361825716332,56.33631871325219,55.25683011548196,657.0680566054705,2365445.0037796937,0.0,0.0,0.0,0.0,2364403.1224754389,52.6666666666667 
 10/15  13:00:00,449877.2466306251,0.0,8395071.755256845,1949282.3779811953,0.0,0.0,0.0,0.0,0.0,0.0,9396811.3037698,51.98366304848884,0.017784456373780286,51.98366304848884,0.15928830792337793,53.06256733957992,51.98366304848884,718.9607929318255,2588258.8545545719,4866124.521849183,6082655.652311479,0.0,0.0,2586088.5333095106,52.6666666666667 
 10/15  14:00:00,556988.40418875,0.0,10360710.529692384,2443745.813047229,0.0,0.0,0.0,0.0,0.0,0.0,824838.8896483957,55.95938449687308,0.0014431611192864864,55.95938449687308,0.19808389386467843,57.033299311791058,55.95938449687308,889.6273054573594,3202658.299646494,15440.379989741466,19300.474987176833,0.0,0.0,3201114.0856849036,52.6666666666667 
 10/15  15:00:00,601789.7426814508,0.0,11264876.501229892,2607300.9769729638,0.0,0.0,0.0,0.0,0.0,0.0,64340.24148319552,59.39990499912953,0.00010853233891373228,59.39990499912953,0.2138826442576187,60.016326274736119,59.39990499912953,551.5838000812734,1985701.680292584,0.0,0.0,0.0,0.0,3468044.3695507135,52.6666666666667 
 10/15  16:00:00,626544.4202329533,0.0,11845871.041835642,2653323.5884043497,0.0,0.0,0.0,0.0,0.0,0.0,831017.7639390704,59.12031780098001,0.001330289282126655,59.12031780098001,0.0,59.12031780098001,59.12031780098001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.6666666666667 
 10/15  17:00:00,596907.1507675356,0.0,11377187.293556104,2471705.391154508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.221029514235997,0.0,58.221029514235997,0.0,58.221029514235997,58.221029514235997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.6666666666667 
 10/15  18:00:00,497094.8938562042,0.0,9664809.093587766,1948908.5317085947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.07377100914768,0.0,58.07377100914768,0.0,58.07377100914768,58.07377100914768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.6666666666667 
 10/15  19:00:00,392880.98573174307,0.0,7713652.9574616779,1493321.6318436147,0.0,0.0,0.0,0.0,0.0,0.0,2577124.454774812,57.529056383228589,0.00419630641229672,57.529056383228589,0.13870490068836403,58.63182196044115,57.529056383228589,640.0110277828364,2304039.7000182115,0.0,0.0,0.0,0.0,2301743.6473263229,52.6666666666667 
 10/15  20:00:00,289741.8117830484,0.0,5717537.410871231,1080648.0613587143,0.0,0.0,0.0,0.0,0.0,0.0,9515673.786340002,52.30627086223985,0.017781487354092127,52.30627086223985,0.10203559467584213,53.41315538770417,52.30627086223985,472.5423874990347,1701152.594996525,5124265.5364939649,6405331.920617456,0.0,0.0,1699546.3680574862,52.6666666666667 
 10/15  21:00:00,267372.5696882898,0.0,5314243.1157091329,979548.7453205366,0.0,0.0,0.0,0.0,0.0,0.0,13075.1992342475,54.33877728012837,0.00002447692881014785,54.33877728012837,0.09433275898061744,55.447207131604418,54.33877728012837,437.2755673878855,1574192.0425963877,0.0,0.0,0.0,0.0,1573447.965257417,52.6666666666667 
 10/15  22:00:00,226345.06791781309,0.0,4473748.3439294309,837223.2909702339,0.0,0.0,0.0,0.0,0.0,0.0,4369660.361393162,52.21043614487523,0.008213290999546121,52.21043614487523,0.07969543071243784,53.31757333523392,52.21043614487523,369.08735759371799,1328714.4873373847,1280376.361911356,1600470.4523891949,0.0,0.0,1327742.908724916,52.6666666666667 
 10/15  23:00:00,199084.52290691919,0.0,3950626.092627515,729393.1416142972,0.0,0.0,0.0,0.0,0.0,0.0,421670.3254798445,52.68033933554585,0.0007870575063091646,52.68033933554585,0.07011411174205248,53.78925890061199,52.68033933554585,325.1355849301997,1170488.1057487189,0.0,0.0,0.0,0.0,1170004.8085604532,52.6666666666667 
 10/15  24:00:00,158713.59150294949,0.0,3173015.2450165564,571924.1592683775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.05613807049373,0.0,54.05613807049373,0.05582383428182445,55.17065345524541,54.05613807049373,260.2044812389983,936736.132460394,0.0,0.0,0.0,0.0,936234.8510712334,52.6666666666667 
 10/16  01:00:00,114328.24614595295,0.0,2283527.0567291176,411998.2724130582,0.0,0.0,0.0,0.0,0.0,0.0,3127900.6903405629,52.27358810609814,0.0058528304373590789,52.27358810609814,0.040139194626409979,53.389259948060239,52.27358810609814,187.31735804720013,674342.4889699204,1257838.5578425599,1572298.1973031997,0.0,0.0,673881.332285544,52.6666666666667 
 10/16  02:00:00,97674.38059047457,0.0,1949911.519966786,351980.51403386678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.910630873896298,0.0,52.910630873896298,0.034304896980949958,54.02541295704607,52.910630873896298,159.92842089915417,575742.315236955,0.0,0.0,0.0,0.0,575473.0085001631,52.6666666666667 
 10/16  03:00:00,68990.57014880989,0.0,1388025.4029028496,244853.37415875955,0.0,0.0,0.0,0.0,0.0,0.0,126355.2835407262,53.49755456943257,0.00023468565133019103,53.49755456943257,0.024205087957587764,54.618296049333,53.49755456943257,113.45641586408188,408443.09711069476,0.0,0.0,0.0,0.0,408219.6942654022,52.6666666666667 
 10/16  04:00:00,42918.233629575974,0.0,867089.7961140106,151156.18791901353,0.0,0.0,0.0,0.0,0.0,0.0,518935.3195864796,53.340005115334438,0.0009488396833935142,53.340005115334438,0.015043174756658522,54.4645372024278,53.340005115334438,70.75280430763603,254710.0955074897,0.0,0.0,0.0,0.0,254561.496008256,52.6666666666667 
 10/16  05:00:00,27317.248235492018,0.0,551962.9607108414,96218.91837828442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.146523292871339,0.0,53.146523292871339,0.00957161052637093,54.271576574258748,53.146523292871339,45.03658384043398,162131.7018255623,0.0,0.0,0.0,0.0,162045.46977228143,52.6666666666667 
