Date/Time,EMS:ashp supply fan Cooling [J](Hourly),EMS:ashp supply fan Heating [J](Hourly),ASHP CLG COIL:Cooling Coil Total Cooling Energy [J](Hourly),ASHP CLG COIL:Cooling Coil Electric Energy [J](Hourly),ASHP HTG COIL:Heating Coil Heating Energy [J](Hourly),ASHP HTG COIL:Heating Coil Electric Energy [J](Hourly),ASHP HTG COIL:Heating Coil Defrost Electric Energy [J](Hourly),ASHP HTG COIL:Heating Coil Crankcase Heater Electric Energy [J](Hourly),ASHP SUPP HTG COIL:Heating Coil Heating Energy [J](Hourly),ASHP SUPP HTG COIL:Heating Coil Electric Energy [J](Hourly),WATER USE CONNECTIONS 1:Water Use Connections Plant Hot Water Energy [J](Hourly),WATER HEATER:Water Heater Tank Temperature [C](Hourly),WATER HEATER:Water Heater Use Side Mass Flow Rate [kg/s](Hourly),WATER HEATER:Water Heater Use Side Outlet Temperature [C](Hourly),WATER HEATER:Water Heater Source Side Mass Flow Rate [kg/s](Hourly),WATER HEATER:Water Heater Source Side Inlet Temperature [C](Hourly),WATER HEATER:Water Heater Source Side Outlet Temperature [C](Hourly),WATER HEATER:Water Heater Source Side Heat Transfer Rate [W](Hourly),WATER HEATER:Water Heater Source Side Heat Transfer Energy [J](Hourly),WATER HEATER:Water Heater Heating Energy [J](Hourly),WATER HEATER:Water Heater Electric Energy [J](Hourly),WATER HEATER:Water Heater Off Cycle Parasitic Electric Energy [J](Hourly),WATER HEATER:Water Heater On Cycle Parasitic Electric Energy [J](Hourly),DESUPERHEATER:Water Heater Heating Energy [J](Hourly),WH SETPOINT TEMP:Schedule Value [](Hourly) 
 01/02  06:00:00,0.0,54363.95325171065,0.0,0.0,1215073.6131053803,425757.59650006299,0.0,175081.27458616103,0.0,0.0,0.0,51.25817225205193,0.0,51.25817225205193,0.0,51.399335671856167,51.25817225205193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.6666666666667 
 01/02  07:00:00,0.0,77186.2184715988,0.0,0.0,1680240.8737144799,597623.5477509006,0.0,173016.36853676683,0.0,0.0,832444.7772211476,51.7278758909108,0.0013245594259248763,51.7278758909108,0.0,51.25817225205193,51.7278758909108,0.0,0.0,1179664.1547298758,1474580.1934123447,0.0,0.0,0.0,52.6666666666667 
 01/02  08:00:00,0.0,82967.79826313263,0.0,0.0,1806764.2698273645,642260.4612853021,0.0,172493.26449904013,0.0,0.0,0.0,51.59079578266138,0.0,51.59079578266138,0.0,51.7278758909108,51.59079578266138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.6666666666667 
 01/02  09:00:00,0.0,71930.48342149271,0.0,0.0,1633724.5365443398,566596.0219128525,0.0,173491.89535211205,0.0,0.0,1827353.758775855,51.54522090091749,0.002919777550112836,51.54522090091749,0.0,51.59079578266138,51.54522090091749,0.0,0.0,2491063.894862912,3113829.86857864,0.0,0.0,0.0,52.6666666666667 
 01/02  10:00:00,0.0,38508.67014867227,0.0,0.0,897066.5148682931,306936.08765684757,0.0,0.0,0.0,0.0,1223525.7926925098,51.72084938043353,0.0019497156953062014,51.72084938043353,0.0,51.54522090091749,51.72084938043353,0.0,0.0,1204083.3601802164,1505104.2002252704,0.0,0.0,0.0,52.6666666666667 
 01/02  11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.30460875828424,0.0,52.30460875828424,0.0,51.72084938043353,52.30460875828424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.6666666666667 
 01/02  12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,467505.824565318,51.743307499438767,0.0007441177476044636,51.743307499438767,0.0,52.30460875828424,51.743307499438767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.6666666666667 
 01/02  13:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.19031290832398,0.0,51.19031290832398,0.0,51.743307499438767,51.19031290832398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.6666666666667 
 01/02  14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.05461066276252,0.0,51.05461066276252,0.0,51.19031290832398,51.05461066276252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.6666666666667 
 01/02  15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,751433.4059338938,51.8128672438478,0.0011944199568592117,51.8128672438478,0.0,51.05461066276252,51.8128672438478,0.0,0.0,1174457.424856031,1468071.7810700387,0.0,0.0,0.0,52.6666666666667 
